"App name","Usage time","Access count"
"Chrome","6:03:33","102"
"Phone","5:02:21","32"
"Spotify","1:17:03","127"
"WhatsApp","0:52:03","83"
"Photos","0:22:45","13"
"App Usage","0:12:18","18"
"YouTube","0:08:37","14"
"Messages","0:05:17","4"
"Google Play Store","0:04:31","21"
"Nordea ID","0:04:11","24"
"Nordea Wallet","0:03:48","19"
"Maps","0:02:59","12"
"Notes","0:02:12","2"
"Nordea Mobile","0:02:03","14"
"Android Setup","0:01:57","24"
"Drive","0:01:54","6"
"Gmail","0:01:51","8"
"EasyPark","0:01:43","4"
"Google Cloud","0:01:41","3"
"Camera","0:01:36","13"
"MobilePay","0:01:33","5"
"Digital Wellbeing","0:01:22","6"
"Salibandy Broadcaster","0:01:09","4"
"Snapseed","0:01:03","3"
"Google Wallet","0:01:02","17"
"Android Setup","0:01:01","3"
"Files","0:00:45","8"
"File Manager","0:00:43","1"
"com.oneplus.setupwizard.WizardApplication","0:00:29","13"
"Gallery","0:00:29","7"
"Permission controller","0:00:19","7"
"SIM Toolkit","0:00:19","5"
"Contacts","0:00:17","8"
"Settings Suggestions","0:00:12","4"
"Google","0:00:03","1"
"Package installer","0:00:02","3"
"Gboard","0:00:01","1"
"Shazam","0:00:01","1"
"Call Management","0:00:01","2"
"Clock","0:00:01","1"
"X Google enrollment","0:00:00","2"
"Lens","0:00:00","1"
"System UI","0:00:00","1"
""
"Date","Usage time"
"12/11/22","1:07:23"
"12/10/22","6:47:36"
"12/9/22","0:20:15"
"12/8/22","2:41:12"
"12/7/22","0:29:05"
"12/6/22","1:01:43"
"12/5/22","1:02:53"
"12/4/22","0:10:13"
"12/3/22","1:04:56"
""
"Usage history, December 11, 2022 - August 10, 2022"
"Created by App Usage on Sunday, December 11, 2022, 21:32"
